School type,Gender,Number of classes daily,Location of school,Remedial classes,Number of peer teachers,Library ,School level,Average KCSE Score,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,50.8,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,55.6,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,50.9,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,28.14,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,29.34,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,30.14,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,31.22,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.41,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,34.44,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,37.82,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,60.03,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,61.23,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,60.45,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,51.4,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,51.7,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,35.66,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,66.8,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,77,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,78.9,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,79,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,40.2,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,44.86,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,54.07,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,56,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,53.11,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,54.5,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,33.52,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,69.8,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,20.88,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,38.71,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,36.35,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,44.8,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,49,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,47,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,54,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,50.4,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,46.7,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,45.03,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,40.9,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,51.33,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,54.78,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,39.25,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,54.3,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,61,,,,
single-Gender,Female,12,Voi,yes,30,Yes,Extra County,66,,,,
